FIELD OF STUDY NAME,CF FIELD OF STUDY RELATED ID,,,CF FIELD OF STUDY ID,CF FIELD OF STUDY NAME,,Latest Field of study 03/08/2022,Has been assigned,,LEVEL OF STUDY NAME,CF LEVEL OF STUDY RELATED ID,,CF LEVEL OF STUDY ID,CF LEVEL OF STUDY NAME,,Latest Level of study 03/08/2022,Has been assigned
faculty of mathematics and natural sciences,mathematics,,,,,,fahrzeug- und motorentechnik,TRUE,,,,,,,,,
landscape architecture,architecture_and_design,,,,,,geodäsie und geoinformatik,TRUE,,,,,,,,,
mechanical engineering | innovation,mechanical_engineering,,,,,,geschichte,TRUE,,,,,,,,,
medical engineering,medicine,,,,,,immobilientechnik und immobilienwirtschaft,TRUE,,,,,,,,,
raumentwicklung und landschaftsarchitektur,education,,,,,,kunstgeschichte,TRUE,,,,,,,,,
renewable energies and environmental engineering,environmental_studies_and_forestry,,,,,,luft- und raumfahrttechnik,TRUE,,,,,,,,,
"urban, transport and spatial planning",architecture_and_design,,,,,,maschinelle sprachverarbeitung,TRUE,,,,,,,,,
machine learning,computer_science,,,,,,politikwissenschaften,TRUE,,,,,,,,,
natural language processing,computer_science,,,,,,simulation technology,TRUE,,,,,,,,,
microelectronics,electrical_engineering,,,,,,softwaretechnik,TRUE,,,,,,,,,
academic diploma program skema x berkeley global,other,,,,,,sprachen und linguistik,TRUE,,,,,,,,,
artificial intelligence for business transformation,computer_science,,,,,,technische biologie,TRUE,,,,,,,,,
bba in business administration,business_administration_economics,,,,,,technische kybernetik,TRUE,,,,,,,,,
bba in global management,business_administration_economics,,,,,,technologiemanagement,TRUE,,,,,,,,,
bba in international business,business_administration_economics,,,,,,umweltschutztechnik,TRUE,,,,,,,,,
entrepreneurship and sustainable design,business_administration_economics,,,,,,maths,TRUE,,,,,,,,,
"ms auditing, management accounting & information systems",business_administration_economics,,,,,,physics and applied physics,TRUE,,,,,,,,,
ms corporate fiscal management,business_administration_economics,,,,,,"accounting, audit, controlling",TRUE,,,,,,,,,
ms marketing data & e-commerce,business_administration_economics,,,,,,others,TRUE,,,,,,,,,
ms project and programme management & business development,business_administration_economics,,,,,,"business administration, management and economics",TRUE,,,,,,,,,
ms supply chain management and purchasing,business_administration_economics,,,,,,"informatik, wirtschaftsinformatik, computer science",TRUE,,,,,,,,,
ms wealth management,business_administration_economics,,,,,,ingenieurwesen & wirtschaftsingenieurwesen,TRUE,,,,,,,,,
"msc auditing, management accounting & information systems",business_administration_economics,,,,,,"law, wirtschaftsrecht",TRUE,,,,,,,,,
msc business consulting and digital transformation,business_administration_economics,,,,,,natural science,TRUE,,,,,,,,,
msc corporate financial management,business_administration_economics,,,,,,law & economics,TRUE,,,,,,,,,
"msc digital business, data analysis and management",business_administration_economics,,,,,,"accounting, control and finance",TRUE,,,,,,,,,
msc digital marketing,journalism_media_studies_and_communication,,,,,,computing science,TRUE,,,,,,,,,
msc entrepreneurship & innovation,business_administration_economics,,,,,,physics and applied mathematics,TRUE,,,,,,,,,
msc financial markets & investments,finance,,,,,,electronic and computer engineering,TRUE,,,,,,,,,
msc global luxury and management,luxury_fashion,,,,,,electrical power engineering,TRUE,,,,,,,,,
msc international business,business_administration_economics,,,,,,biology and earthscience,TRUE,,,,,,,,,
msc international human resources & performance management,business_administration_economics,,,,,,environmental health,TRUE,,,,,,,,,
msc international marketing & business development,business_administration_economics,,,,,,aviation,TRUE,,,,,,,,,
msc international strategy & influence,business_administration_economics,,,,,,energy and evnironmental engineering,TRUE,,,,,,,,,
msc luxury & fashion management,luxury_fashion,,,,,,transportation systems,TRUE,,,,,,,,,
msc luxury hospitality and innovation,luxury_fashion,,,,,,data analytics,TRUE,,,,,,,,,
msc project and programme management & business development,business_administration_economics,,,,,,agrotechnology and food sciences,TRUE,,,,,,,,,
msc strategic event management & tourism management,business_administration_economics,,,,,,animal sciences,TRUE,,,,,,,,,
msc supply chain management & purchasing,business_administration_economics,,,,,,business administration for sme,TRUE,,,,,,,,,
msc sustainable finance & fintech,finance,,,,,,international technical sales management,TRUE,,,,,,,,,
master in management (grande ecole programme),business_administration_economics,,,,,,renewable energies an energy management,TRUE,,,,,,,,,
triple master loyola x skema x lmu,other,,,,,,medical engineering and data science,TRUE,,,,,,,,,
phd in business administration,business_administration_economics,,,,,,modern materials,TRUE,,,,,,,,,
dba in project and programme management,business_administration_economics,,,,,,multimedia communication and documentation,TRUE,,,,,,,,,
master 2 research in management & innovation,business_administration_economics,,,,,,software design,TRUE,,,,,,,,,
bachelor - filière alternance,business_administration_economics,,,,,,electrical engineering and information technology (master),TRUE,,,,,,,,,
bachelor - option international business,business_administration_economics,,,,,,business administration and law,TRUE,,,,,,,,,
bachelor - option logistique et commerce international,business_administration_economics,,,,,,digital real estate management,TRUE,,,,,,,,,
bachelor management international,business_administration_economics,,,,,,international real estate management,TRUE,,,,,,,,,
m2 audit et finance d'entreprise,finance,,,,,,business psychology,TRUE,,,,,,,,,
ms manager des ressources humaines,business_administration_economics,,,,,,business innovation,TRUE,,,,,,,,,
"ms marketing, communication et ingénierie des produits agroalimentaires",journalism_media_studies_and_communication,,,,,,chemistry and applied biosciences,TRUE,,,,,,,,,
ms sciences et management de la filière équine,business_administration_economics,,,,,,faculty of arts and humanities,TRUE,,,,,,,,,
ms str@tégies de développement & territoires,business_administration_economics,,,,,,faculty of human sciences,TRUE,,,,,,,,,
ms stratégie marketing et développement commercial,business_administration_economics,,,,,,faculty of law,TRUE,,,,,,,,,
"ms supply chain, logistique et innovations",business_administration_economics,,,,,,"faculty of management, economics and social sciences",TRUE,,,,,,,,,
msc artificial intelligence for marketing strategy,business_administration_economics,,,,,,faculty of mathematics and natural sciences,TRUE,,,,,,,,,
"msc banking, finance and fintech",finance,,,,,,landscape architecture,TRUE,,,,,,,,,
msc financial data management,finance,,,,,,mechanical engineering | innovation,TRUE,,,,,,,,,
msc international events management,business_administration_economics,,,,,,medical engineering,TRUE,,,,,,,,,
msc international logistics and port management,business_administration_economics,,,,,,raumentwicklung und landschaftsarchitektur,TRUE,,,,,,,,,
msc international marketing and business development,business_administration_economics,,,,,,renewable energies and environmental engineering,TRUE,,,,,,,,,
msc marketing and digital in luxury and lifestyle,journalism_media_studies_and_communication,,,,,,"urban, transport and spatial planning",TRUE,,,,,,,,,
msc supply chain management,business_administration_economics,,,,,,machine learning,TRUE,,,,,,,,,
programme grande école,other,,,,,,natural language processing,TRUE,,,,,,,,,
année optionnelle,other,,,,,,microelectronics,TRUE,,,,,,,,,
